Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Class
0.197135448,0.93,0.09,-0.15,43.82,-67.32,7.39,36.25,30.65,9.44,RUN
0.198133945,0.97,0.21,-0.2,40.65,27.47,11.9,36.66,30.9,8.98,RUN
0.199137688,0.95,0.29,-0.26,33.2,28.02,-3.17,36.46,31.09,13.81,RUN
0.199137688,1,0.22,-0.07,39.67,4.39,-6.1,36.13,31.79,16.59,RUN
0.200135231,0.94,0.14,-0.17,33.57,-12.02,-13.24,35.46,33.31,17.25,RUN
0.201135397,0.98,0.15,-0.11,39.98,-0.73,-15.44,34.85,34.88,18.74,RUN
0.201135397,1.03,0.11,-0.08,15.01,-5.74,-1.16,33.96,34.96,18.8,RUN
0.20213294,0.97,0.12,-0.06,3.3,-8.54,-7.81,33.25,35.57,19.78,RUN
0.203133821,0.98,0.18,-0.08,17.58,1.46,3.42,33.94,35.93,19.15,RUN
0.203133821,1.01,0.15,-0.05,21.97,2.81,0,33.22,35.41,19.87,RUN
0.20413661,0.98,0.13,-0.05,14.28,6.35,-2.87,33.41,35.75,20.84,RUN
0.205127001,0.98,0.13,-0.06,13.92,4.88,-0.92,33.29,35.38,21.52,RUN
0.205127001,0.99,0.11,-0.07,9.83,5.13,-3.78,33.15,35.02,23.11,RUN
0.206080914,1.01,0.1,-0.09,5.86,3.85,-3.72,33.09,35.45,23.97,RUN
0.206682444,1,0.11,-0.1,2.56,3.6,-4.82,33.33,35.44,24.08,RUN
0.207790375,1.01,0.1,-0.1,2.08,1.28,-2.26,32.81,34.88,24.33,RUN
0.207790375,0.99,0.1,-0.1,5.07,-2.62,-2.75,33.41,35.49,25.2,RUN
0.208754539,1.01,0.11,-0.09,13,-2.99,0.67,32.98,34.77,25.96,RUN
0.208754539,1,0.1,-0.09,13.31,-2.08,1.22,33.53,35,26.45,RUN
0.209794283,1,0.08,-0.08,8.24,-1.95,-1.95,33.23,34.56,25.95,RUN
0.210793495,1,0.11,-0.07,3.3,-5.31,-3.05,33.44,34.81,26.15,RUN
0.210793495,1,0.09,-0.07,0.12,-4.76,-1.53,33.13,35.08,26.14,RUN
0.211761951,1,0.09,-0.06,-3.3,-2.14,-0.37,33.06,34.83,24.73,RUN
0.212689877,1,0.1,-0.05,-4.76,-1.71,0.61,33.62,34.72,25.01,RUN
0.212689877,1.01,0.11,-0.05,-4.21,-0.55,0.61,33.69,34.38,24.19,RUN
0.214690924,0.99,0.1,-0.05,-2.81,-1.04,0.67,33.75,34.91,25.67,RUN
0.215792894,1,0.11,-0.05,-2.08,-0.61,1.28,33.52,34.52,24.26,RUN
0.216691732,1,0.11,-0.05,-1.59,-1.1,0.61,33.52,34.31,23.82,RUN
0.217688084,1,0.11,-0.05,-2.14,-0.67,0.92,33.61,34.67,24.9,RUN
0.218709946,0.99,0.11,-0.05,-2.08,0.06,0.79,33.54,34.64,24.6,RUN
0.218709946,1,0.13,-0.05,-3.54,1.22,-0.37,33.95,34.73,24.73,RUN
0.219688416,0.99,0.11,-0.06,-2.62,0.12,0.18,33.17,34.8,24.08,RUN
0.220713377,1,0.13,-0.06,-0.49,0.92,-0.98,33.24,34.59,24.74,RUN
0.221688271,0.99,0.12,-0.06,3.48,1.83,-2.99,33.09,34.77,24.12,RUN
0.221688271,1,0.11,-0.08,5.07,1.16,-3.85,33.23,35.11,25.38,RUN
0.222711802,1,0.11,-0.07,6.77,1.04,-5.13,32.34,34.35,25.29,RUN
0.222711802,0.99,0.1,-0.08,5.74,0.85,-4.58,32.62,34.96,24.3,RUN
0.2237041,1.02,0.1,-0.09,5.62,-0.79,-1.95,32.67,34.96,25.39,RUN
0.224703074,1,0.11,-0.07,12.45,0,2.62,32.18,34.89,26.88,RUN
0.224703074,0.96,0.13,-0.06,21.48,2.08,10.31,32.81,33.79,27.4,RUN
0.225708008,1,0.21,-0.11,11.6,4.64,15.32,33.31,32.26,28.71,RUN
0.226708412,1.01,0.23,-0.12,-2.01,-2.5,4.76,34.07,31.15,27.91,RUN
0.227703571,0.98,0.21,-0.1,-2.75,-7.2,-3.11,34.13,30.79,27.95,RUN
0.227703571,0.98,0.23,-0.1,-9.89,-12.94,-5.43,34.64,31.02,27.61,RUN
0.228688002,0.96,0.25,-0.08,-5.68,-13.79,-9.22,34.66,31.96,25.95,RUN
0.230688572,0.97,0.13,-0.05,-8.3,-6.53,-16.05,34.9,34.33,24.69,RUN
0.230688572,0.97,0.01,-0.01,-17.64,-6.65,-25.88,34.11,36.24,24.45,RUN
0.231688261,0.98,-0.06,0.02,-34.3,-3.78,-21.73,34.08,38.65,22.23,RUN
0.232687235,1.07,-0.04,0.09,-35.64,-9.16,-19.78,33.34,41.14,20.73,RUN
0.233686924,1.01,-0.1,0.16,-10.13,-15.44,-0.55,32.74,42.29,17.3,RUN
0.234687805,0.91,-0.1,0.18,0.43,-24.23,-1.28,33.37,42.11,14.79,RUN
0.235687494,1.04,-0.11,0.25,-15.14,-12.7,-5.13,33.58,42.61,15.42,RUN
0.236688375,0.95,-0.05,0.2,-7.75,1.83,1.22,34.29,42.54,13.9,RUN
0.238689423,1,-0.06,0.2,-1.22,6.35,3.85,33.7,42.7,13.66,RUN
0.240196943,0.98,-0.03,0.17,3.48,2.62,0.12,33.97,42.5,14.17,RUN
0.241206646,0.97,-0.05,0.15,3.3,1.4,-1.89,34.51,42.02,14.87,RUN
0.243204832,1.01,-0.1,0.12,10.8,1.83,-4.39,34.19,43.16,15.54,RUN
0.245205641,0.98,-0.09,0.15,27.53,1.53,0.55,33.41,43.03,15.67,RUN
0.246206045,0.98,-0.17,0.13,34.67,-1.65,9.46,34,41.71,19.09,RUN
0.247205019,1.02,-0.17,0.11,23.07,-5.25,0.24,33.58,40.98,20.39,RUN
0.248205185,0.97,0,0.1,8.79,3.85,5.49,33.4,39.97,20.46,RUN
0.249204636,0.99,0.04,0.08,18.43,-0.61,13.37,33.92,38.82,21.58,RUN
0.250204802,1,0.07,0.09,38.21,-3.36,22.77,34.28,37.46,23.11,RUN
0.251204252,0.99,0.09,0.11,48.89,-8.91,20.94,35.28,34.63,24.55,RUN
